,id,Title,Thumbnail,Short Description,Game URL,Genre,Platform,Publisher,Developer,Release Date,FreeToGame Profile URL
41,623,Raven2,https://www.freetogame.com/g/623/thumbnail.jpg,A free-to-play open-world MMORPG.,https://www.freetogame.com/open/raven2,MMORPG,PC (Windows),Netmarble,Netmarble,2025-10-22,https://www.freetogame.com/raven2
42,625,Superball,https://www.freetogame.com/g/625/thumbnail.jpg,A free-to-play futuristic sports game.,https://www.freetogame.com/open/superball,Sports,PC (Windows),Logoi Games,Pathea Games,2025-10-28,https://www.freetogame.com/superball
43,628,World of Sea Battle,https://www.freetogame.com/g/628/thumbnail.jpg,A free-to-play historical open-sea MMORPG.,https://www.freetogame.com/open/world-of-sea-battle,MMORPG,PC (Windows),Thera Interactive,Thera Interactive,2025-10-21,https://www.freetogame.com/world-of-sea-battle
44,615,Arena Breakout: Infinite,https://www.freetogame.com/g/615/thumbnail.jpg,A free-to-play tactical extraction shooter.,https://www.freetogame.com/open/arena-breakout-infinite,Shooter,PC (Windows),MoreFun Studios,MoreFun Studios,2025-09-16,https://www.freetogame.com/arena-breakout-infinite
45,616,Warborne Above Ashes,https://www.freetogame.com/g/616/thumbnail.jpg,A free-to-play PvP-centric MMO.,https://www.freetogame.com/open/warborne-above-ashes,MMO,PC (Windows),Qooland ,Qooland,2025-09-19,https://www.freetogame.com/warborne-above-ashes
46,617,Eterspire,https://www.freetogame.com/g/617/thumbnail.jpg,"A free-to-play, cross-platform MMORPG.",https://www.freetogame.com/open/eterspire,MMORPG,PC (Windows),Stonehollow Workshop,Stonehollow Workshop,2025-09-15,https://www.freetogame.com/eterspire
47,618,skate.,https://www.freetogame.com/g/618/thumbnail.jpg,"The latest, free-to-play, entry in the Skate franchise.",https://www.freetogame.com/open/skate,Sports,PC (Windows),Full Circle,Electronic Arts,2025-09-16,https://www.freetogame.com/skate
48,619,Blade & Soul Heroes,https://www.freetogame.com/g/619/thumbnail.jpg,A free-to-play collectible action MMORPG set in the Blade & Soul universe.,https://www.freetogame.com/open/blade-soul-heroes,MMORPG,PC (Windows),NCSoft,NCSoft,2025-09-24,https://www.freetogame.com/blade-soul-heroes
49,632,Dragon Ball Gekishin Squadra,https://www.freetogame.com/g/632/thumbnail.jpg,A free-to-play MOBA featuring all your favorite Dragon Ball characters.,https://www.freetogame.com/open/dragon-ball-gekishin-squadra,MOBA,PC (Windows),Bandai Namco Entertainment,"GANBARION Co., Ltd.",2025-09-09,https://www.freetogame.com/dragon-ball-gekishin-squadra
50,613,Dfiance,https://www.freetogame.com/g/613/thumbnail.jpg,A free-to-play tactical card game.,https://www.freetogame.com/open/dfiance,Card Game,PC (Windows),Dfiance,Dfiance,2025-08-04,https://www.freetogame.com/dfiance
